text,label
"Quinoa porridge served warm with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes roughness, scatte, and supports smooth digestion—ideal for cool breezes or busy",Vata
"Hot lemon water made light and lively with ginger, pepper, and lemon. Warming, and energizing, dry, it cuts sluggishness and dampness, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slow mornings.",Kapha
"Roasted beet soup served cozy with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes roughness, and supports smooth digestion—ideal for cool breezes or busy, sc",Vata
"Almond date smoothie served cozy with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes dryness, and supports smooth digestion—ideal for cool breezes or busy, s",Vata
"Spiced carrot mash served cozy with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes dryness, and supports smooth digestion—ideal for cool breezes or busy, sca",Vata
"Pumpkin soup served warm with gentle spices and a touch of natural sweetness. Soft, and supports smooth digestion—ideal for cool breezes or busy, and comforting, it grounds restlessness, soothes dryness, moist, scattered",Vata
"Coconut rice porridge served warm with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes roughness, and supports smooth digestion—ideal for cool breezes or busy",Vata
"Saffron milk served warm with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, scattered, soothes dryness, and supports smooth digestion—ideal for cool breezes or busy, it grounds restlessness",Vata
"and lifts sluggish moods—a bright pick‑me‑up for slow morn, pepper, and lemon. Warming, dry, and energizing, it cuts heaviness and dampness, awakens appetite, Chili-lime cucumber (light) made light and lively with ginger",Kapha
"Lemon ginger barley water made light and lively with ginger, pepper, and lemon. Warming, dry, awakens appetite, it cuts heaviness and dampness, and energizing, and lifts sluggish moods—a bright pick‑me‑up for slow mornin",Kapha
"Barley porridge made light and lively with ginger, pepper, and lemon. Warming, non-oily, and energizing, it cuts heaviness and dampness, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slow mornings.",Kapha
"Paneer and peas served comforting with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes dryness, and supports smooth digestion—ideal for cool breezes or busy,",Vata
"Coconut-lime lassi prepared mild and cooling with mint, fennel, or coconut. Light, mildly sweet, and refreshing, it eases inner intensity and intensity, settling irritability while staying easy to digest, perfect for hot afternoons.",Pitta
"Coriander cooler prepared mild and cooling with mint, fennel, or coconut. Light, sweet, and refreshing, it eases inner intensity and intensity, settling irritability while staying easy to digest, perfect for hot afternoons.",Pitta
"and lemon. Warming, pepper, Turnip soup made unheavy and lively with ginger, light-dry, and energizing, it cuts sluggishness and dampness, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slow mornings.",Kapha
"Kitchari with mung dal served warm with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes cold-dry feel, and supports smooth digestion—ideal for cool breezes or",Vata
"Roasted pearl onions made light and lively with ginger, pepper, and lemon. Warming, dry, and energizing, it cuts heaviness and dampness, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slow mornings.",Kapha
"Carrot ginger soup served cozy with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes dryness, and supports smooth digestion—ideal for cool breezes or busy, sca",Vata
"Coconut chia pudding prepared mild and cooling with mint, fennel, or coconut. Light, sweet, and refreshing, it eases inner fire and intensity, perfect for hot afternoon, settling irritability while staying easy to digest",Pitta
"Carom seed tea made airy and lively with ginger, pepper, and lemon. Warming, dry, and energizing, it cuts sluggishness and dampness, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slow mornings. Feels",Kapha
"Mustard greens curry made airy and lively with ginger, pepper, and lemon. Warming, dry, and energizing, it cuts heaviness and dampness, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slow mornings.",Kapha
"Roasted pearl onions made light and lively with ginger, pepper, and lemon. Warming, and lifts sluggish moods—a bright pick‑me‑up for slow mornings., and energizing, it cuts dullness and dampness, awakens appetite, light-dry",Kapha
"Sauteed spinach garlic (non-oily) made light and lively with ginger, pepper, and lemon. Warming, dry, and energizing, it cuts dullness and dampness, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slow",Kapha
"Coconut rice porridge served cozy with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes dryness, and supports smooth digestion—ideal for cool breezes or busy,",Vata
"Blueberry smoothie prepared mild and cooling with mint, fennel, or coconut. Light, sweet, and refreshing, it eases inner heat and intensity, settling irritability while staying easy to digest, perfect for hot afternoons.",Pitta
"Rose petal jam prepared mild and soothing-cool with mint, fennel, or coconut. Light, pleasant, and refreshing, it eases inner heat and intensity, settling irritability while staying easy to digest, perfect for hot afternoons.",Pitta
"Coconut rice prepared mild and cooling with mint, fennel, or coconut. Light, pleasant, and refreshing, it eases inner fire and intensity, settling irritability while staying easy to digest, perfect for hot afternoons.",Pitta
"Moong dal soup served warm with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes roughness, and supports smooth digestion—ideal for cool breezes or busy, scatt",Vata
"Mashed yams with ghee served warm with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes dryness, and supports smooth digestion—ideal for cool breezes or busy,",Vata
"Khichdi with ghee served warm with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes cold-dry feel, and supports smooth digestion—ideal for cool breezes or busy, scat",Vata
"Moong dal soup served comforting with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes roughness, and supports smooth digestion—ideal for cool breezes or busy, scatter",Vata
"Creamy lentil dal served warm with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes dryness, and supports smooth digestion—ideal for cool breezes or busy, scat",Vata
"Semolina halwa served warm with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes dryness, and supports smooth digestion—ideal for cool breezes or busy, scatter",Vata
"Roasted squash seeds made unheavy and lively with ginger, pepper, and lemon. Warming, dry, and energizing, it cuts heaviness and dampness, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slow mornings.",Kapha
"Mustard greens curry made unheavy and lively with ginger, pepper, and lemon. Warming, dry, and energizing, it cuts dullness and dampness, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slow mornings.",Kapha
"Cabbage stir-fry (mild) prepared mild and cooling with mint, fennel, or coconut. Light, pleasant, and refreshing, it eases inner intensity and intensity, settling irritability while staying easy to digest, perfect for hot aftern",Pitta
"Kitchari with mung dal served warm with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes dryness, and supports smooth digestion—ideal for cool breezes or busy,",Vata
"Tahini soft-sweet rice served cozy with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes roughness, and supports smooth digestion—ideal for cool breezes or busy, scat",Vata
"Blueberry smoothie prepared mild and refreshing with mint, fennel, or coconut. Light, sweet, and refreshing, it eases inner fire and intensity, settling irritability while staying easy to digest, perfect for hot afternoo",Pitta
"Cilantro lime rice prepared mild and cooling with mint, fennel, and refreshing, sweet, or coconut. Light, it eases inner fire and intensity, settling irritability while staying easy to digest, perfect for hot afternoons.",Pitta
"Baked pears with honey served warm with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes dryness, and supports smooth digestion—ideal for cool breezes or busy,",Vata
"Carom seed tea made light and lively with ginger, pepper, and lemon. Warming, dry, and energizing, it cuts sluggishness and dampness, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slow mornings.",Kapha
"Mint lemonade prepared mild and refreshing with mint, fennel, or coconut. Light, sweet, and refreshing, it eases inner heat and intensity, settling irritability while staying easy to digest, perfect for hot afternoons.",Pitta
"Spiced carrot mash served warm with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes cold-dry feel, and supports smooth digestion—ideal for cool breezes or bus",Vata
"Roasted sweet potato wedges (dry) made light and lively with ginger, pepper, and lemon. Warming, dry, and energizing, it cuts heaviness and dampness, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slo",Kapha
"Steamed asparagus prepared mild and cooling with mint, fennel, it eases inner heat and intensity, pleasant, and refreshing, or coconut. Light, settling irritability while staying easy to digest, perfect for hot afternoon",Pitta
"awakens appetite, pepper, and lemon. Warming, dry, and energizing, it cuts heaviness and dampness, Tomato pepper soup made airy and lively with ginger, and lifts sluggish moods—a bright pick‑me‑up for slow mornings. Feel",Kapha
"Honeydew smoothie prepared mild and cooling with mint, fennel, or coconut. Light, sweet, and refreshing, it eases inner fire and intensity, settling irritability while staying easy to digest, perfect for hot afternoons.",Pitta
"Creamy lentil dal served warm with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes dryness, and supports smooth digestion—ideal for cool breezes or busy, scat",Vata
"Roasted pearl onions made light and lively with ginger, pepper, it cuts sluggishness and dampness, dry, and energizing, and lemon. Warming, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slow mornings",Kapha
"Ginger tea with lemon made light and lively with ginger, pepper, and lemon. Warming, dry, and energizing, it cuts heaviness and dampness, and lifts sluggish moods—a bright pick‑me‑up for slow mornings., awakens appetite",Kapha
"Root vegetable stew served warm with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes roughness, and supports smooth digestion—ideal for cool breezes or busy, sc",Vata
"Sweet potato curry served warm with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes dryness, and supports smooth digestion—ideal for cool breezes or busy, sca",Vata
"Quinoa salad with lemon made light and lively with ginger, pepper, and lemon. Warming, non-oily, and energizing, it cuts heaviness and dampness, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slow mornings",Kapha
"Saffron rice prepared mild and soothing-cool with mint, fennel, or coconut. Light, sweet, and refreshing, it eases inner intensity and intensity, settling irritability while staying easy to digest, perfect for hot afternoons.",Pitta
"Spiced buttermilk (takra) made unheavy and lively with ginger, pepper, and lemon. Warming, light-dry, and energizing, it cuts heaviness and dampness, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slo",Kapha
"Fennel tea prepared mild and cooling with mint, fennel, or coconut. Light, pleasant, and refreshing, it eases inner heat and intensity, settling irritability while staying easy to digest, perfect for hot afternoons.",Pitta
"Kale and carrot saute made light and lively with ginger, pepper, and lemon. Warming, dry, and energizing, it cuts sluggishness and dampness, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slow mornings.",Kapha
"Moong dal soup served warm with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes dryness, and supports smooth digestion—ideal for cool breezes or busy, scatter",Vata
"Honeydew smoothie prepared mild and cooling with mint, fennel, or coconut. Light, sweet, and refreshing, it eases inner heat and intensity, settling irritability while staying easy to digest, perfect for hot afternoons.",Pitta
"pepper, Roasted squash seeds made light and lively with ginger, and lemon. Warming, dry, and energizing, it cuts heaviness and dampness, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slow mornings.",Kapha
"Masala oats (dry) made unheavy and lively with ginger, pepper, and lemon. Warming, dry, and energizing, it cuts sluggishness and dampness, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slow mornings.",Kapha
"Mint coriander chutney prepared mild and cooling with mint, fennel, or coconut. Light, sweet, and refreshing, it eases inner heat and intensity, settling irritability while staying easy to digest, perfect for hot afterno",Pitta
"Moong dal soup served warm with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, and supports smooth digestion—ideal for cool breezes or busy, soothes cold-dry feel, scatter",Vata
"Coconut-lime lassi prepared mild and cooling with mint, fennel, it eases inner heat and intensity, sweet, and refreshing, or coconut. Light, settling irritability while staying easy to digest, perfect for hot afternoons.",Pitta
"Hot lemon water made airy and lively with ginger, awakens appetite, and lemon. Warming, light-dry, and energizing, it cuts heaviness and dampness, pepper, and lifts sluggish moods—a bright pick‑me‑up for slow mornings. G",Kapha
"Root vegetable stew served cozy with gentle spices and a touch of natural sweetness. Soft, and comforting, moist, it grounds restlessness, soothes cold-dry feel, and supports smooth digestion—ideal for cool breezes or busy, sc",Vata
"Boiled potatoes with mint prepared mild and cooling with mint, fennel, mildly sweet, or coconut. Light, and refreshing, it eases inner fire and intensity, settling irritability while staying easy to digest, perfect for hot afte",Pitta
"scatte, moist, and comforting, it grounds restlessness, soothes roughness, and supports smooth digestion—ideal for cool breezes or busy, Paneer and peas served warm with gentle spices and a touch of natural sweetness. Soft",Vata
"Cilantro lime rice prepared mild and soothing-cool with mint, fennel, or coconut. Light, pleasant, and refreshing, it eases inner heat and intensity, settling irritability while staying easy to digest, perfect for hot af",Pitta
"Roasted sweet potato wedges (dry) made airy and lively with ginger, pepper, and lemon. Warming, dry, and energizing, it cuts heaviness and dampness, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slo",Kapha
"settling irritability while staying easy to digest, fennel, or coconut. Light, sweet, and refreshing, it eases inner heat and intensity, Cucumber raita prepared mild and cooling with mint, perfect for hot afternoons. Cle",Pitta
"Bitter gourd stir-fry made light and lively with ginger, pepper, and lemon. Warming, dry, and energizing, it cuts sluggishness and dampness, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slow mornings.",Kapha
"Pumpkin soup served cozy with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes cold-dry feel, and supports smooth digestion—ideal for cool breezes or busy, scattered",Vata
"Roasted fennel prepared mild and cooling with mint, fennel, or coconut. Light, sweet, and refreshing, it eases inner intensity and intensity, settling irritability while staying easy to digest, perfect for hot afternoons.",Pitta
"Pomegranate juice prepared mild and refreshing with mint, fennel, or coconut. Light, mildly sweet, and refreshing, it eases inner intensity and intensity, settling irritability while staying easy to digest, perfect for h",Pitta
"Turnip soup made light and lively with ginger, pepper, and lemon. Warming, dry, and energizing, it cuts heaviness and dampness, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slow mornings. Feels brig",Kapha
"Ginger tea with lemon made unheavy and lively with ginger, and lemon. Warming, pepper, dry, and energizing, it cuts dullness and dampness, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slow mornings.",Kapha
"Roasted fennel prepared mild and cooling with mint, fennel, or coconut. Light, sweet, and refreshing, it eases inner heat and intensity, settling irritability while staying easy to digest, perfect for hot afternoons. Kee",Pitta
"Semolina halwa served cozy with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes cold-dry feel, and supports smooth digestion—ideal for cool breezes or busy, scatter",Vata
"Cilantro lime rice prepared mild and cooling with mint, fennel, or coconut. Light, sweet, and refreshing, it eases inner intensity and intensity, settling irritability while staying easy to digest, perfect for hot afternoons.",Pitta
"Mung soup with pepper made light and lively with ginger, pepper, and lemon. Warming, dry, and energizing, it cuts heaviness and dampness, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slow mornings.",Kapha
"Millet upma (non-oily) made airy and lively with ginger, pepper, it cuts sluggishness and dampness, dry, and energizing, and lemon. Warming, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slow morning",Kapha
"Spiced carrot mash served warm with gentle spices and a touch of natural sweetness. Soft, and supports smooth digestion—ideal for cool breezes or busy, and comforting, it grounds restlessness, soothes dryness, moist, sca",Vata
"Kitchari with mung dal served warm with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes roughness, and supports smooth digestion—ideal for cool breezes or bus",Vata
"Butternut squash curry served comforting with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes dryness, and supports smooth digestion—ideal for cool breezes or busy,",Vata
"Aloe vera drink prepared mild and refreshing with mint, fennel, sweet, or coconut. Light, and refreshing, it eases inner heat and intensity, settling irritability while staying easy to digest, perfect for hot afternoons.",Pitta
"Roasted cauliflower made light and lively with ginger, pepper, and lemon. Warming, non-oily, and energizing, it cuts heaviness and dampness, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slow mornings.",Kapha
"perfect for hot afternoons., fennel, or coconut. Light, mildly sweet, and refreshing, it eases inner heat and intensity, settling irritability while staying easy to digest, Cilantro lime rice prepared mild and refreshing with mint",Pitta
"Soft idli with ghee served warm with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes dryness, and supports smooth digestion—ideal for cool breezes or busy, sc",Vata
"Aloe vera drink prepared mild and refreshing with mint, fennel, or coconut. Light, pleasant, and refreshing, it eases inner heat and intensity, settling irritability while staying easy to digest, perfect for hot afternoo",Pitta
"Rose petal jam prepared mild and refreshing with mint, fennel, or coconut. Light, sweet, and refreshing, it eases inner fire and intensity, settling irritability while staying easy to digest, perfect for hot afternoons.",Pitta
"Green bean saute (mild) prepared mild and soothing-cool with mint, fennel, or coconut. Light, mildly sweet, and refreshing, it eases inner heat and intensity, settling irritability while staying easy to digest, perfect f",Pitta
"Coconut-lime lassi prepared mild and cooling with mint, fennel, or coconut. Light, sweet, and refreshing, it eases inner heat and intensity, settling irritability while staying easy to digest, perfect for hot afternoons.",Pitta
"Kale and carrot saute made light and lively with ginger, pepper, and lemon. Warming, dry, and energizing, it cuts heaviness and dampness, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slow mornings.",Kapha
"and refreshing, fennel, or coconut. Light, sweet, Mung bean sprout salad (mild) prepared mild and soothing-cool with mint, it eases inner fire and intensity, settling irritability while staying easy to digest, perfect for hot",Pitta
"Creamy lentil dal served cozy with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes roughness, and supports smooth digestion—ideal for cool breezes or busy, sc",Vata
"Coconut rice prepared mild and soothing-cool with mint, fennel, or coconut. Light, sweet, and refreshing, it eases inner fire and intensity, settling irritability while staying easy to digest, perfect for hot afternoons.",Pitta
"Rose petal jam prepared mild and refreshing with mint, fennel, or coconut. Light, sweet, and refreshing, it eases inner fire and intensity, settling irritability while staying easy to digest, perfect for hot afternoons.",Pitta
"Moong dal soup served cozy with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes roughness, and supports smooth digestion—ideal for cool breezes or busy, scatt",Vata
"Hot lemon water made light and lively with ginger, pepper, and lemon. Warming, light-dry, and energizing, it cuts dullness and dampness, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slow mornings. G",Kapha
"Semolina halwa served comforting with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes roughness, and supports smooth digestion—ideal for cool breezes or busy, scatter",Vata
"Oatmeal with raisins served cozy with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes cold-dry feel, and supports smooth digestion—ideal for cool breezes or busy, s",Vata
"Cilantro lime rice prepared mild and cooling with mint, fennel, and refreshing, pleasant, or coconut. Light, it eases inner heat and intensity, settling irritability while staying easy to digest, perfect for hot afternoo",Pitta
"Black tea with ginger made light and lively with ginger, pepper, and lemon. Warming, non-oily, and energizing, it cuts heaviness and dampness, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slow morni",Kapha
"Turmeric coconut milk (mild) prepared mild and soothing-cool with mint, fennel, or coconut. Light, mildly sweet, and refreshing, it eases inner heat and intensity, settling irritability while staying easy to digest, perf",Pitta
"Roasted fennel prepared mild and cooling with mint, fennel, or coconut. Light, pleasant, and refreshing, it eases inner heat and intensity, settling irritability while staying easy to digest, perfect for hot afternoons.",Pitta
"Radish stir-fry made airy and lively with ginger, pepper, and lemon. Warming, dry, and energizing, it cuts heaviness and dampness, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slow mornings.",Kapha
"Saffron rice prepared mild and soothing-cool with mint, fennel, or coconut. Light, pleasant, and refreshing, it eases inner fire and intensity, settling irritability while staying easy to digest, perfect for hot afternoons.",Pitta
"Rice vermicelli upma served warm with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes dryness, and supports smooth digestion—ideal for cool breezes or busy, s",Vata
"Coconut rice prepared mild and cooling with mint, fennel, or coconut. Light, pleasant, and refreshing, it eases inner heat and intensity, settling irritability while staying easy to digest, perfect for hot afternoons. Cl",Pitta
"Spiced carrot mash served cozy with gentle spices and a touch of natural sweetness. Soft, moist, it grounds restlessness, and comforting, soothes roughness, and supports smooth digestion—ideal for cool breezes or busy, s",Vata
"Tahini sweet rice served warm with gentle spices and a touch of natural sweetness. Soft, and comforting, moist, it grounds restlessness, soothes dryness, and supports smooth digestion—ideal for cool breezes or busy, scat",Vata
"Coconut rice porridge served comforting with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes dryness, and supports smooth digestion—ideal for cool breezes or",Vata
"Quinoa salad with lemon made unheavy and lively with ginger, pepper, and lemon. Warming, dry, and energizing, it cuts sluggishness and dampness, awakens appetite, and lifts sluggish moods—a bright pick‑me‑up for slow mor",Kapha
"Light paneer salad prepared mild and soothing-cool with mint, fennel, or coconut. Light, sweet, and refreshing, it eases inner heat and intensity, settling irritability while staying easy to digest, perfect for hot afternoons.",Pitta
"Sweet potato curry served warm with gentle spices and a touch of natural sweetness. Soft, moist, and comforting, it grounds restlessness, soothes cold-dry feel, and supports smooth digestion—ideal for cool breezes or busy, sca",Vata
"Bitter gourd stir-fry made unheavy and lively with ginger, pepper, and lemon. Warming, awakens appetite, and energizing, it cuts sluggishness and dampness, dry, and lifts sluggish moods—a bright pick‑me‑up for slow mornings.",Kapha
