text,herb_name,should_preserve,expected_tokens
triphala properties,triphala,True,"['triphala', 'properties']"
what is triphala,triphala,True,"['what', 'is', 'triphala']"
how does triphala work,triphala,True,"['how', 'does', 'triphala', 'work']"
triphala for health,triphala,True,"['triphala', 'for', 'health']"
medicinal triphala,triphala,True,"['medicinal', 'triphala']"
therapeutic triphala,triphala,True,"['therapeutic', 'triphala']"
triphala benefits and uses,triphala,True,"['triphala', 'benefits', 'and', 'uses']"
traditional use of triphala,triphala,True,"['traditional', 'use', 'of', 'triphala']"
benefits of chyawanprash,chyawanprash,True,"['benefits', 'of', 'chyawanprash']"
chyawanprash uses,chyawanprash,True,"['chyawanprash', 'uses']"
chyawanprash properties,chyawanprash,True,"['chyawanprash', 'properties']"
what is chyawanprash,chyawanprash,True,"['what', 'is', 'chyawanprash']"
how does chyawanprash work,chyawanprash,True,"['how', 'does', 'chyawanprash', 'work']"
chyawanprash for health,chyawanprash,True,"['chyawanprash', 'for', 'health']"
medicinal chyawanprash,chyawanprash,True,"['medicinal', 'chyawanprash']"
therapeutic chyawanprash,chyawanprash,True,"['therapeutic', 'chyawanprash']"
chyawanprash benefits and uses,chyawanprash,True,"['chyawanprash', 'benefits', 'and', 'uses']"
traditional use of chyawanprash,chyawanprash,True,"['traditional', 'use', 'of', 'chyawanprash']"
benefits of punarnava,punarnava,True,"['benefits', 'of', 'punarnava']"
punarnava uses,punarnava,True,"['punarnava', 'uses']"
punarnava properties,punarnava,True,"['punarnava', 'properties']"
what is punarnava,punarnava,True,"['what', 'is', 'punarnava']"
how does punarnava work,punarnava,True,"['how', 'does', 'punarnava', 'work']"
punarnava for health,punarnava,True,"['punarnava', 'for', 'health']"
medicinal punarnava,punarnava,True,"['medicinal', 'punarnava']"
therapeutic punarnava,punarnava,True,"['therapeutic', 'punarnava']"
punarnava benefits and uses,punarnava,True,"['punarnava', 'benefits', 'and', 'uses']"
traditional use of punarnava,punarnava,True,"['traditional', 'use', 'of', 'punarnava']"
benefits of bhumyamalaki,bhumyamalaki,True,"['benefits', 'of', 'bhumyamalaki']"
bhumyamalaki uses,bhumyamalaki,True,"['bhumyamalaki', 'uses']"
bhumyamalaki properties,bhumyamalaki,True,"['bhumyamalaki', 'properties']"
what is bhumyamalaki,bhumyamalaki,True,"['what', 'is', 'bhumyamalaki']"
how does bhumyamalaki work,bhumyamalaki,True,"['how', 'does', 'bhumyamalaki', 'work']"
bhumyamalaki for health,bhumyamalaki,True,"['bhumyamalaki', 'for', 'health']"
medicinal bhumyamalaki,bhumyamalaki,True,"['medicinal', 'bhumyamalaki']"
therapeutic bhumyamalaki,bhumyamalaki,True,"['therapeutic', 'bhumyamalaki']"
bhumyamalaki benefits and uses,bhumyamalaki,True,"['bhumyamalaki', 'benefits', 'and', 'uses']"
traditional use of bhumyamalaki,bhumyamalaki,True,"['traditional', 'use', 'of', 'bhumyamalaki']"
benefits of kalmegh,kalmegh,True,"['benefits', 'of', 'kalmegh']"
kalmegh uses,kalmegh,True,"['kalmegh', 'uses']"
kalmegh properties,kalmegh,True,"['kalmegh', 'properties']"
what is kalmegh,kalmegh,True,"['what', 'is', 'kalmegh']"
how does kalmegh work,kalmegh,True,"['how', 'does', 'kalmegh', 'work']"
kalmegh for health,kalmegh,True,"['kalmegh', 'for', 'health']"
medicinal kalmegh,kalmegh,True,"['medicinal', 'kalmegh']"
therapeutic kalmegh,kalmegh,True,"['therapeutic', 'kalmegh']"
kalmegh benefits and uses,kalmegh,True,"['kalmegh', 'benefits', 'and', 'uses']"
traditional use of kalmegh,kalmegh,True,"['traditional', 'use', 'of', 'kalmegh']"
