text,herb,benefits,label
ashwagandha for balya,ashwagandha,ashwagandha is beneficial for balya,herb_benefits_balya
ashwagandha for medhya,ashwagandha,ashwagandha is beneficial for medhya,herb_benefits_medhya
ashwagandha for vrishya,ashwagandha,ashwagandha is beneficial for vrishya,herb_benefits_vrishya
ashwagandha for rasayan,ashwagandha,ashwagandha is beneficial for rasayan,herb_benefits_rasayan
what is ashwagandha used for,ashwagandha,"Ashwagandha (Withania somnifera) is a powerful adaptogen. It reduces stress, increases strength, and supports reproductive and nervous systems.",herb_benefits_ashwagandha
how to use ashwagandha,ashwagandha,"Ashwagandha (Withania somnifera) is a powerful adaptogen. It reduces stress, increases strength, and supports reproductive and nervous systems.",herb_benefits_ashwagandha
ashwagandha medicinal properties,ashwagandha,"Ashwagandha (Withania somnifera) is a powerful adaptogen. It reduces stress, increases strength, and supports reproductive and nervous systems.",herb_benefits_ashwagandha
ashwagandha health benefits,ashwagandha,"Ashwagandha (Withania somnifera) is a powerful adaptogen. It reduces stress, increases strength, and supports reproductive and nervous systems.",herb_benefits_ashwagandha
therapeutic effects of ashwagandha,ashwagandha,"Ashwagandha (Withania somnifera) is a powerful adaptogen. It reduces stress, increases strength, and supports reproductive and nervous systems.",herb_benefits_ashwagandha
benefits of giloy,giloy,"Giloy (Tinospora cordifolia) is a powerful immunity booster. It acts as an antipyretic, detoxifier, and rejuvenator with anti-inflammatory effects.",herb_benefits_giloy
giloy for jwaraghna,giloy,giloy is beneficial for jwaraghna,herb_benefits_jwaraghna
giloy for raktashodhak,giloy,giloy is beneficial for raktashodhak,herb_benefits_raktashodhak
giloy for shothahara,giloy,giloy is beneficial for shothahara,herb_benefits_shothahara
giloy for rasayan,giloy,giloy is beneficial for rasayan,herb_benefits_rasayan
what is giloy used for,giloy,"Giloy (Tinospora cordifolia) is a powerful immunity booster. It acts as an antipyretic, detoxifier, and rejuvenator with anti-inflammatory effects.",herb_benefits_giloy
how to use giloy,giloy,"Giloy (Tinospora cordifolia) is a powerful immunity booster. It acts as an antipyretic, detoxifier, and rejuvenator with anti-inflammatory effects.",herb_benefits_giloy
giloy medicinal properties,giloy,"Giloy (Tinospora cordifolia) is a powerful immunity booster. It acts as an antipyretic, detoxifier, and rejuvenator with anti-inflammatory effects.",herb_benefits_giloy
giloy health benefits,giloy,"Giloy (Tinospora cordifolia) is a powerful immunity booster. It acts as an antipyretic, detoxifier, and rejuvenator with anti-inflammatory effects.",herb_benefits_giloy
therapeutic effects of giloy,giloy,"Giloy (Tinospora cordifolia) is a powerful immunity booster. It acts as an antipyretic, detoxifier, and rejuvenator with anti-inflammatory effects.",herb_benefits_giloy
benefits of shatavari,shatavari,"Shatavari (Asparagus racemosus) supports female reproductive health, boosts vitality, and is a top Ayurvedic rejuvenator for Pitta and Vata.",herb_benefits_shatavari
shatavari for stanyashodhana,shatavari,shatavari is beneficial for stanyashodhana,herb_benefits_stanyashodhana
shatavari for shukrala,shatavari,shatavari is beneficial for shukrala,herb_benefits_shukrala
shatavari for rasayan,shatavari,shatavari is beneficial for rasayan,herb_benefits_rasayan
shatavari for varnya,shatavari,shatavari is beneficial for varnya,herb_benefits_varnya
what is shatavari used for,shatavari,"Shatavari (Asparagus racemosus) supports female reproductive health, boosts vitality, and is a top Ayurvedic rejuvenator for Pitta and Vata.",herb_benefits_shatavari
how to use shatavari,shatavari,"Shatavari (Asparagus racemosus) supports female reproductive health, boosts vitality, and is a top Ayurvedic rejuvenator for Pitta and Vata.",herb_benefits_shatavari
shatavari medicinal properties,shatavari,"Shatavari (Asparagus racemosus) supports female reproductive health, boosts vitality, and is a top Ayurvedic rejuvenator for Pitta and Vata.",herb_benefits_shatavari
shatavari health benefits,shatavari,"Shatavari (Asparagus racemosus) supports female reproductive health, boosts vitality, and is a top Ayurvedic rejuvenator for Pitta and Vata.",herb_benefits_shatavari
therapeutic effects of shatavari,shatavari,"Shatavari (Asparagus racemosus) supports female reproductive health, boosts vitality, and is a top Ayurvedic rejuvenator for Pitta and Vata.",herb_benefits_shatavari
benefits of nagarmotha,nagarmotha,"Used to treat indigestion, fever, and obesity through its deepana and pachana actions.",herb_benefits_nagarmotha
nagarmotha for deepana,nagarmotha,nagarmotha is beneficial for deepana,herb_benefits_deepana
nagarmotha for pachana,nagarmotha,nagarmotha is beneficial for pachana,herb_benefits_pachana
nagarmotha for grahi,nagarmotha,nagarmotha is beneficial for grahi,herb_benefits_grahi
what is nagarmotha used for,nagarmotha,"Used to treat indigestion, fever, and obesity through its deepana and pachana actions.",herb_benefits_nagarmotha
how to use nagarmotha,nagarmotha,"Used to treat indigestion, fever, and obesity through its deepana and pachana actions.",herb_benefits_nagarmotha
nagarmotha medicinal properties,nagarmotha,"Used to treat indigestion, fever, and obesity through its deepana and pachana actions.",herb_benefits_nagarmotha
nagarmotha health benefits,nagarmotha,"Used to treat indigestion, fever, and obesity through its deepana and pachana actions.",herb_benefits_nagarmotha
therapeutic effects of nagarmotha,nagarmotha,"Used to treat indigestion, fever, and obesity through its deepana and pachana actions.",herb_benefits_nagarmotha
benefits of agnimantha,agnimantha,"Part of Dashamoola, used in vata disorders and for promoting digestion.",herb_benefits_agnimantha
agnimantha for shoolaghna,agnimantha,agnimantha is beneficial for shoolaghna,herb_benefits_shoolaghna
agnimantha for virechana,agnimantha,agnimantha is beneficial for virechana,herb_benefits_virechana
what is agnimantha used for,agnimantha,"Part of Dashamoola, used in vata disorders and for promoting digestion.",herb_benefits_agnimantha
how to use agnimantha,agnimantha,"Part of Dashamoola, used in vata disorders and for promoting digestion.",herb_benefits_agnimantha
agnimantha medicinal properties,agnimantha,"Part of Dashamoola, used in vata disorders and for promoting digestion.",herb_benefits_agnimantha
agnimantha health benefits,agnimantha,"Part of Dashamoola, used in vata disorders and for promoting digestion.",herb_benefits_agnimantha
therapeutic effects of agnimantha,agnimantha,"Part of Dashamoola, used in vata disorders and for promoting digestion.",herb_benefits_agnimantha
benefits of rohitaka,rohitaka,"Used for treating liver disorders, ascites, and splenomegaly.",herb_benefits_rohitaka
rohitaka for raktashodhak,rohitaka,rohitaka is beneficial for raktashodhak,herb_benefits_raktashodhak
rohitaka for deepana,rohitaka,rohitaka is beneficial for deepana,herb_benefits_deepana
rohitaka for pachana,rohitaka,rohitaka is beneficial for pachana,herb_benefits_pachana
what is rohitaka used for,rohitaka,"Used for treating liver disorders, ascites, and splenomegaly.",herb_benefits_rohitaka
how to use rohitaka,rohitaka,"Used for treating liver disorders, ascites, and splenomegaly.",herb_benefits_rohitaka
rohitaka medicinal properties,rohitaka,"Used for treating liver disorders, ascites, and splenomegaly.",herb_benefits_rohitaka
rohitaka health benefits,rohitaka,"Used for treating liver disorders, ascites, and splenomegaly.",herb_benefits_rohitaka
therapeutic effects of rohitaka,rohitaka,"Used for treating liver disorders, ascites, and splenomegaly.",herb_benefits_rohitaka
benefits of chopchini,chopchini,"Used in treating joint disorders and skin diseases, known for its anti-inflammatory action.",herb_benefits_chopchini
chopchini for shothahara,chopchini,chopchini is beneficial for shothahara,herb_benefits_shothahara
chopchini for shoolaghna,chopchini,chopchini is beneficial for shoolaghna,herb_benefits_shoolaghna
chopchini for vrishya,chopchini,chopchini is beneficial for vrishya,herb_benefits_vrishya
what is chopchini used for,chopchini,"Used in treating joint disorders and skin diseases, known for its anti-inflammatory action.",herb_benefits_chopchini
how to use chopchini,chopchini,"Used in treating joint disorders and skin diseases, known for its anti-inflammatory action.",herb_benefits_chopchini
chopchini medicinal properties,chopchini,"Used in treating joint disorders and skin diseases, known for its anti-inflammatory action.",herb_benefits_chopchini
chopchini health benefits,chopchini,"Used in treating joint disorders and skin diseases, known for its anti-inflammatory action.",herb_benefits_chopchini
therapeutic effects of chopchini,chopchini,"Used in treating joint disorders and skin diseases, known for its anti-inflammatory action.",herb_benefits_chopchini
benefits of bhringraj,bhringraj,"Promotes hair growth, supports liver function, and has rejuvenating qualities.",herb_benefits_bhringraj
bhringraj for rasayan,bhringraj,bhringraj is beneficial for rasayan,herb_benefits_rasayan
bhringraj for chakshushya,bhringraj,bhringraj is beneficial for chakshushya,herb_benefits_chakshushya
bhringraj for vrishya,bhringraj,bhringraj is beneficial for vrishya,herb_benefits_vrishya
what is bhringraj used for,bhringraj,"Promotes hair growth, supports liver function, and has rejuvenating qualities.",herb_benefits_bhringraj
how to use bhringraj,bhringraj,"Promotes hair growth, supports liver function, and has rejuvenating qualities.",herb_benefits_bhringraj
bhringraj medicinal properties,bhringraj,"Promotes hair growth, supports liver function, and has rejuvenating qualities.",herb_benefits_bhringraj
bhringraj health benefits,bhringraj,"Promotes hair growth, supports liver function, and has rejuvenating qualities.",herb_benefits_bhringraj
therapeutic effects of bhringraj,bhringraj,"Promotes hair growth, supports liver function, and has rejuvenating qualities.",herb_benefits_bhringraj
benefits of jatamansi,jatamansi,"Calms the mind, supports mental clarity, and acts as a nervine tonic.",herb_benefits_jatamansi
jatamansi for medhya,jatamansi,jatamansi is beneficial for medhya,herb_benefits_medhya
jatamansi for rasayan,jatamansi,jatamansi is beneficial for rasayan,herb_benefits_rasayan
jatamansi for shoolaghna,jatamansi,jatamansi is beneficial for shoolaghna,herb_benefits_shoolaghna
what is jatamansi used for,jatamansi,"Calms the mind, supports mental clarity, and acts as a nervine tonic.",herb_benefits_jatamansi
how to use jatamansi,jatamansi,"Calms the mind, supports mental clarity, and acts as a nervine tonic.",herb_benefits_jatamansi
jatamansi medicinal properties,jatamansi,"Calms the mind, supports mental clarity, and acts as a nervine tonic.",herb_benefits_jatamansi
jatamansi health benefits,jatamansi,"Calms the mind, supports mental clarity, and acts as a nervine tonic.",herb_benefits_jatamansi
therapeutic effects of jatamansi,jatamansi,"Calms the mind, supports mental clarity, and acts as a nervine tonic.",herb_benefits_jatamansi
benefits of chandana,chandana,"Cooling herb used in Pitta disorders, urinary tract infections, and skin diseases.",herb_benefits_chandana
chandana for mutrala,chandana,chandana is beneficial for mutrala,herb_benefits_mutrala
chandana for chakshushya,chandana,chandana is beneficial for chakshushya,herb_benefits_chakshushya
chandana for varnya,chandana,chandana is beneficial for varnya,herb_benefits_varnya
what is chandana used for,chandana,"Cooling herb used in Pitta disorders, urinary tract infections, and skin diseases.",herb_benefits_chandana
how to use chandana,chandana,"Cooling herb used in Pitta disorders, urinary tract infections, and skin diseases.",herb_benefits_chandana
chandana medicinal properties,chandana,"Cooling herb used in Pitta disorders, urinary tract infections, and skin diseases.",herb_benefits_chandana
chandana health benefits,chandana,"Cooling herb used in Pitta disorders, urinary tract infections, and skin diseases.",herb_benefits_chandana
therapeutic effects of chandana,chandana,"Cooling herb used in Pitta disorders, urinary tract infections, and skin diseases.",herb_benefits_chandana
benefits of kutaj,kutaj,"Treats diarrhea, dysentery and balances kapha and pitta dosha.",herb_benefits_kutaj
kutaj for grahi,kutaj,kutaj is beneficial for grahi,herb_benefits_grahi
kutaj for krimighna,kutaj,kutaj is beneficial for krimighna,herb_benefits_krimighna
kutaj for shoolaghna,kutaj,kutaj is beneficial for shoolaghna,herb_benefits_shoolaghna
what is kutaj used for,kutaj,"Treats diarrhea, dysentery and balances kapha and pitta dosha.",herb_benefits_kutaj
how to use kutaj,kutaj,"Treats diarrhea, dysentery and balances kapha and pitta dosha.",herb_benefits_kutaj
kutaj medicinal properties,kutaj,"Treats diarrhea, dysentery and balances kapha and pitta dosha.",herb_benefits_kutaj
kutaj health benefits,kutaj,"Treats diarrhea, dysentery and balances kapha and pitta dosha.",herb_benefits_kutaj
therapeutic effects of kutaj,kutaj,"Treats diarrhea, dysentery and balances kapha and pitta dosha.",herb_benefits_kutaj
benefits of rasona (garlic),rasona (garlic),"Used for respiratory, digestive, and circulatory disorders. Known for lekhana and deepana properties.",herb_benefits_rasona_(garlic)
rasona (garlic) for lekhana,rasona (garlic),rasona (garlic) is beneficial for lekhana,herb_benefits_lekhana
rasona (garlic) for deepana,rasona (garlic),rasona (garlic) is beneficial for deepana,herb_benefits_deepana
rasona (garlic) for rasayan,rasona (garlic),rasona (garlic) is beneficial for rasayan,herb_benefits_rasayan
what is rasona (garlic) used for,rasona (garlic),"Used for respiratory, digestive, and circulatory disorders. Known for lekhana and deepana properties.",herb_benefits_rasona_(garlic)
how to use rasona (garlic),rasona (garlic),"Used for respiratory, digestive, and circulatory disorders. Known for lekhana and deepana properties.",herb_benefits_rasona_(garlic)
rasona (garlic) medicinal properties,rasona (garlic),"Used for respiratory, digestive, and circulatory disorders. Known for lekhana and deepana properties.",herb_benefits_rasona_(garlic)
rasona (garlic) health benefits,rasona (garlic),"Used for respiratory, digestive, and circulatory disorders. Known for lekhana and deepana properties.",herb_benefits_rasona_(garlic)
therapeutic effects of rasona (garlic),rasona (garlic),"Used for respiratory, digestive, and circulatory disorders. Known for lekhana and deepana properties.",herb_benefits_rasona_(garlic)
benefits of kanchanar,kanchanar,"Kanchanar is used to reduce glandular swellings, support thyroid, and treat goiter.",herb_benefits_kanchanar
kanchanar for lekhana,kanchanar,kanchanar is beneficial for lekhana,herb_benefits_lekhana
kanchanar for shothahara,kanchanar,kanchanar is beneficial for shothahara,herb_benefits_shothahara
kanchanar for granthihara,kanchanar,kanchanar is beneficial for granthihara,herb_benefits_granthihara
what is kanchanar used for,kanchanar,"Kanchanar is used to reduce glandular swellings, support thyroid, and treat goiter.",herb_benefits_kanchanar
how to use kanchanar,kanchanar,"Kanchanar is used to reduce glandular swellings, support thyroid, and treat goiter.",herb_benefits_kanchanar
kanchanar medicinal properties,kanchanar,"Kanchanar is used to reduce glandular swellings, support thyroid, and treat goiter.",herb_benefits_kanchanar
kanchanar health benefits,kanchanar,"Kanchanar is used to reduce glandular swellings, support thyroid, and treat goiter.",herb_benefits_kanchanar
therapeutic effects of kanchanar,kanchanar,"Kanchanar is used to reduce glandular swellings, support thyroid, and treat goiter.",herb_benefits_kanchanar
benefits of karpura (camphor),karpura (camphor),"Camphor has stimulant, antispasmodic, and antiseptic actions, used in respiratory and skin conditions.",herb_benefits_karpura_(camphor)
karpura (camphor) for kasahara,karpura (camphor),karpura (camphor) is beneficial for kasahara,herb_benefits_kasahara
karpura (camphor) for shwasahara,karpura (camphor),karpura (camphor) is beneficial for shwasahara,herb_benefits_shwasahara
karpura (camphor) for krimighna,karpura (camphor),karpura (camphor) is beneficial for krimighna,herb_benefits_krimighna
what is karpura (camphor) used for,karpura (camphor),"Camphor has stimulant, antispasmodic, and antiseptic actions, used in respiratory and skin conditions.",herb_benefits_karpura_(camphor)
how to use karpura (camphor),karpura (camphor),"Camphor has stimulant, antispasmodic, and antiseptic actions, used in respiratory and skin conditions.",herb_benefits_karpura_(camphor)
karpura (camphor) medicinal properties,karpura (camphor),"Camphor has stimulant, antispasmodic, and antiseptic actions, used in respiratory and skin conditions.",herb_benefits_karpura_(camphor)
karpura (camphor) health benefits,karpura (camphor),"Camphor has stimulant, antispasmodic, and antiseptic actions, used in respiratory and skin conditions.",herb_benefits_karpura_(camphor)
therapeutic effects of karpura (camphor),karpura (camphor),"Camphor has stimulant, antispasmodic, and antiseptic actions, used in respiratory and skin conditions.",herb_benefits_karpura_(camphor)
benefits of pushkarmool,pushkarmool,"Effective for asthma, cough, and dyspnea. Acts as a bronchodilator and expectorant.",herb_benefits_pushkarmool
pushkarmool for kasahara,pushkarmool,pushkarmool is beneficial for kasahara,herb_benefits_kasahara
pushkarmool for shwasahara,pushkarmool,pushkarmool is beneficial for shwasahara,herb_benefits_shwasahara
pushkarmool for hrudya,pushkarmool,pushkarmool is beneficial for hrudya,herb_benefits_hrudya
what is pushkarmool used for,pushkarmool,"Effective for asthma, cough, and dyspnea. Acts as a bronchodilator and expectorant.",herb_benefits_pushkarmool
how to use pushkarmool,pushkarmool,"Effective for asthma, cough, and dyspnea. Acts as a bronchodilator and expectorant.",herb_benefits_pushkarmool
pushkarmool medicinal properties,pushkarmool,"Effective for asthma, cough, and dyspnea. Acts as a bronchodilator and expectorant.",herb_benefits_pushkarmool
pushkarmool health benefits,pushkarmool,"Effective for asthma, cough, and dyspnea. Acts as a bronchodilator and expectorant.",herb_benefits_pushkarmool
therapeutic effects of pushkarmool,pushkarmool,"Effective for asthma, cough, and dyspnea. Acts as a bronchodilator and expectorant.",herb_benefits_pushkarmool
benefits of bakuchi,bakuchi,"Widely used in leucoderma, vitiligo, and other skin disorders. Supports melanin production.",herb_benefits_bakuchi
bakuchi for kushtaghna,bakuchi,bakuchi is beneficial for kushtaghna,herb_benefits_kushtaghna
bakuchi for varnya,bakuchi,bakuchi is beneficial for varnya,herb_benefits_varnya
bakuchi for rasayan,bakuchi,bakuchi is beneficial for rasayan,herb_benefits_rasayan
what is bakuchi used for,bakuchi,"Widely used in leucoderma, vitiligo, and other skin disorders. Supports melanin production.",herb_benefits_bakuchi
how to use bakuchi,bakuchi,"Widely used in leucoderma, vitiligo, and other skin disorders. Supports melanin production.",herb_benefits_bakuchi
bakuchi medicinal properties,bakuchi,"Widely used in leucoderma, vitiligo, and other skin disorders. Supports melanin production.",herb_benefits_bakuchi
bakuchi health benefits,bakuchi,"Widely used in leucoderma, vitiligo, and other skin disorders. Supports melanin production.",herb_benefits_bakuchi
therapeutic effects of bakuchi,bakuchi,"Widely used in leucoderma, vitiligo, and other skin disorders. Supports melanin production.",herb_benefits_bakuchi
benefits of vidarikand,vidarikand,"Acts as a nutritive tonic, improves fertility, and strengthens the body.",herb_benefits_vidarikand
vidarikand for balya,vidarikand,vidarikand is beneficial for balya,herb_benefits_balya
vidarikand for rasayan,vidarikand,vidarikand is beneficial for rasayan,herb_benefits_rasayan
vidarikand for vrishya,vidarikand,vidarikand is beneficial for vrishya,herb_benefits_vrishya
what is vidarikand used for,vidarikand,"Acts as a nutritive tonic, improves fertility, and strengthens the body.",herb_benefits_vidarikand
how to use vidarikand,vidarikand,"Acts as a nutritive tonic, improves fertility, and strengthens the body.",herb_benefits_vidarikand
vidarikand medicinal properties,vidarikand,"Acts as a nutritive tonic, improves fertility, and strengthens the body.",herb_benefits_vidarikand
vidarikand health benefits,vidarikand,"Acts as a nutritive tonic, improves fertility, and strengthens the body.",herb_benefits_vidarikand
therapeutic effects of vidarikand,vidarikand,"Acts as a nutritive tonic, improves fertility, and strengthens the body.",herb_benefits_vidarikand
benefits of ajmoda,ajmoda,"Improves digestion, relieves bloating and abdominal discomfort, and acts as carminative.",herb_benefits_ajmoda
ajmoda for deepana,ajmoda,ajmoda is beneficial for deepana,herb_benefits_deepana
ajmoda for pachana,ajmoda,ajmoda is beneficial for pachana,herb_benefits_pachana
ajmoda for vatanulomana,ajmoda,ajmoda is beneficial for vatanulomana,herb_benefits_vatanulomana
what is ajmoda used for,ajmoda,"Improves digestion, relieves bloating and abdominal discomfort, and acts as carminative.",herb_benefits_ajmoda
how to use ajmoda,ajmoda,"Improves digestion, relieves bloating and abdominal discomfort, and acts as carminative.",herb_benefits_ajmoda
ajmoda medicinal properties,ajmoda,"Improves digestion, relieves bloating and abdominal discomfort, and acts as carminative.",herb_benefits_ajmoda
ajmoda health benefits,ajmoda,"Improves digestion, relieves bloating and abdominal discomfort, and acts as carminative.",herb_benefits_ajmoda
therapeutic effects of ajmoda,ajmoda,"Improves digestion, relieves bloating and abdominal discomfort, and acts as carminative.",herb_benefits_ajmoda
benefits of patola,patola,"Used in fever, liver disorders, and skin diseases. Strong pitta pacifier.",herb_benefits_patola
patola for raktashodhak,patola,patola is beneficial for raktashodhak,herb_benefits_raktashodhak
patola for jwaraghna,patola,patola is beneficial for jwaraghna,herb_benefits_jwaraghna
patola for kushtaghna,patola,patola is beneficial for kushtaghna,herb_benefits_kushtaghna
what is patola used for,patola,"Used in fever, liver disorders, and skin diseases. Strong pitta pacifier.",herb_benefits_patola
how to use patola,patola,"Used in fever, liver disorders, and skin diseases. Strong pitta pacifier.",herb_benefits_patola
patola medicinal properties,patola,"Used in fever, liver disorders, and skin diseases. Strong pitta pacifier.",herb_benefits_patola
patola health benefits,patola,"Used in fever, liver disorders, and skin diseases. Strong pitta pacifier.",herb_benefits_patola
therapeutic effects of patola,patola,"Used in fever, liver disorders, and skin diseases. Strong pitta pacifier.",herb_benefits_patola
benefits of vrikshamla,vrikshamla,Helps in weight management and digestion. Rich in hydroxycitric acid.,herb_benefits_vrikshamla
vrikshamla for lekhana,vrikshamla,vrikshamla is beneficial for lekhana,herb_benefits_lekhana
vrikshamla for deepana,vrikshamla,vrikshamla is beneficial for deepana,herb_benefits_deepana
vrikshamla for medohara,vrikshamla,vrikshamla is beneficial for medohara,herb_benefits_medohara
what is vrikshamla used for,vrikshamla,Helps in weight management and digestion. Rich in hydroxycitric acid.,herb_benefits_vrikshamla
how to use vrikshamla,vrikshamla,Helps in weight management and digestion. Rich in hydroxycitric acid.,herb_benefits_vrikshamla
vrikshamla medicinal properties,vrikshamla,Helps in weight management and digestion. Rich in hydroxycitric acid.,herb_benefits_vrikshamla
vrikshamla health benefits,vrikshamla,Helps in weight management and digestion. Rich in hydroxycitric acid.,herb_benefits_vrikshamla
therapeutic effects of vrikshamla,vrikshamla,Helps in weight management and digestion. Rich in hydroxycitric acid.,herb_benefits_vrikshamla
benefits of kumuda,kumuda,"Useful in burning sensation, pitta disorders and fever.",herb_benefits_kumuda
kumuda for jwaraghna,kumuda,kumuda is beneficial for jwaraghna,herb_benefits_jwaraghna
kumuda for raktapittaghna,kumuda,kumuda is beneficial for raktapittaghna,herb_benefits_raktapittaghna
what is kumuda used for,kumuda,"Useful in burning sensation, pitta disorders and fever.",herb_benefits_kumuda
how to use kumuda,kumuda,"Useful in burning sensation, pitta disorders and fever.",herb_benefits_kumuda
kumuda medicinal properties,kumuda,"Useful in burning sensation, pitta disorders and fever.",herb_benefits_kumuda
kumuda health benefits,kumuda,"Useful in burning sensation, pitta disorders and fever.",herb_benefits_kumuda
therapeutic effects of kumuda,kumuda,"Useful in burning sensation, pitta disorders and fever.",herb_benefits_kumuda
benefits of shigru,shigru,"Moringa is rich in nutrients, detoxifies blood, and improves digestion.",herb_benefits_shigru
shigru for shothahara,shigru,shigru is beneficial for shothahara,herb_benefits_shothahara
shigru for krimighna,shigru,shigru is beneficial for krimighna,herb_benefits_krimighna
shigru for medohara,shigru,shigru is beneficial for medohara,herb_benefits_medohara
what is shigru used for,shigru,"Moringa is rich in nutrients, detoxifies blood, and improves digestion.",herb_benefits_shigru
how to use shigru,shigru,"Moringa is rich in nutrients, detoxifies blood, and improves digestion.",herb_benefits_shigru
shigru medicinal properties,shigru,"Moringa is rich in nutrients, detoxifies blood, and improves digestion.",herb_benefits_shigru
shigru health benefits,shigru,"Moringa is rich in nutrients, detoxifies blood, and improves digestion.",herb_benefits_shigru
therapeutic effects of shigru,shigru,"Moringa is rich in nutrients, detoxifies blood, and improves digestion.",herb_benefits_shigru
benefits of parpataka,parpataka,"Reduces burning sensation, used in fever, acidity and liver ailments.",herb_benefits_parpataka
parpataka for pittaghna,parpataka,parpataka is beneficial for pittaghna,herb_benefits_pittaghna
parpataka for jwaraghna,parpataka,parpataka is beneficial for jwaraghna,herb_benefits_jwaraghna
what is parpataka used for,parpataka,"Reduces burning sensation, used in fever, acidity and liver ailments.",herb_benefits_parpataka
how to use parpataka,parpataka,"Reduces burning sensation, used in fever, acidity and liver ailments.",herb_benefits_parpataka
parpataka medicinal properties,parpataka,"Reduces burning sensation, used in fever, acidity and liver ailments.",herb_benefits_parpataka
parpataka health benefits,parpataka,"Reduces burning sensation, used in fever, acidity and liver ailments.",herb_benefits_parpataka
therapeutic effects of parpataka,parpataka,"Reduces burning sensation, used in fever, acidity and liver ailments.",herb_benefits_parpataka
benefits of indrayava,indrayava,"Treats diarrhea, dysentery and helps regulate bowel movements.",herb_benefits_indrayava
indrayava for grahi,indrayava,indrayava is beneficial for grahi,herb_benefits_grahi
indrayava for krimighna,indrayava,indrayava is beneficial for krimighna,herb_benefits_krimighna
indrayava for raktashodhak,indrayava,indrayava is beneficial for raktashodhak,herb_benefits_raktashodhak
what is indrayava used for,indrayava,"Treats diarrhea, dysentery and helps regulate bowel movements.",herb_benefits_indrayava
how to use indrayava,indrayava,"Treats diarrhea, dysentery and helps regulate bowel movements.",herb_benefits_indrayava
indrayava medicinal properties,indrayava,"Treats diarrhea, dysentery and helps regulate bowel movements.",herb_benefits_indrayava
indrayava health benefits,indrayava,"Treats diarrhea, dysentery and helps regulate bowel movements.",herb_benefits_indrayava
therapeutic effects of indrayava,indrayava,"Treats diarrhea, dysentery and helps regulate bowel movements.",herb_benefits_indrayava
benefits of kapikachhu,kapikachhu,"Improves fertility, nervous strength and acts as aphrodisiac.",herb_benefits_kapikachhu
kapikachhu for vrishya,kapikachhu,kapikachhu is beneficial for vrishya,herb_benefits_vrishya
kapikachhu for balya,kapikachhu,kapikachhu is beneficial for balya,herb_benefits_balya
