text,label,confidence,herb,symptom,topic
health benefits of ambasthaki,herb_benefits,1.0,ambasthaki,,
therapeutic effects of swarnapatri,herb_benefits,1.0,swarnapatri,,
permanent cure for motion sickness,disease_prediction,1.0,,motion sickness,
what does kasheruka do,herb_benefits,1.0,kasheruka,,
exploring temperament,general_info,1.0,,,temperament
shadbindu taila for wellness,herb_benefits,1.0,shadbindu taila,,
dhatus principles,general_info,1.0,,,dhatus
kakajangha in herbal medicine,herb_benefits,1.0,kakajangha,,
triphala guggulu for health,herb_benefits,1.0,triphala guggulu,,
philosophy of ama,general_info,1.0,,,ama
controlling restless legs,disease_prediction,1.0,,restless legs,
benefits and uses of mahatiktaka ghrita,herb_benefits,1.0,mahatiktaka ghrita,,
controlling motion sickness,disease_prediction,1.0,,motion sickness,
home remedy for irregular periods,disease_prediction,1.0,,irregular periods,
uses of hinguleshwar ras,herb_benefits,1.0,hinguleshwar ras,,
ayurveda understanding,general_info,1.0,,,ayurveda
chronic headache,disease_prediction,1.0,,headache,
studying prabhava,general_info,1.0,,,prabhava
panchakarma viewpoint,general_info,1.0,,,panchakarma
kushmanda khanda properties,herb_benefits,1.0,kushmanda khanda,,
define shirodhara,general_info,1.0,,,shirodhara
jivanti health effects,herb_benefits,1.0,jivanti,,
mild back pain,disease_prediction,1.0,,back pain,
remedy for nausea,disease_prediction,1.0,,nausea,
mustakarishta health effects,herb_benefits,1.0,mustakarishta,,
kalyana ksharam effects,herb_benefits,1.0,kalyana ksharam,,
preventing burns,disease_prediction,1.0,,burns,
herbal properties of kumkumadi thailam,herb_benefits,1.0,kumkumadi thailam,,
overview of srotas,general_info,1.0,,,srotas
shvet musli for health improvement,herb_benefits,1.0,shvet musli,,
saptadhatu understanding,general_info,1.0,,,saptadhatu
arka ksheera effects,herb_benefits,1.0,arka ksheera,,
alleviating heartburn,disease_prediction,1.0,,heartburn,
preventing dry skin,disease_prediction,1.0,,dry skin,
non-toxic remedy for stress,disease_prediction,1.0,,stress,
ayurveda understanding,general_info,1.0,,,ayurveda
recurring muscle pain,disease_prediction,1.0,,muscle pain,
dealing with allergies,disease_prediction,1.0,,allergies,
herbal medicine for night sweats,disease_prediction,1.0,,night sweats,
want to know about panchakarma,general_info,1.0,,,panchakarma
twak (cinnamon) natural medicine,herb_benefits,1.0,twak (cinnamon),,
tintidika health effects,herb_benefits,1.0,tintidika,,
malas approach,general_info,1.0,,,malas
significance of virya,general_info,1.0,,,virya
origin of virya,general_info,1.0,,,virya
want to know about preventive medicine,general_info,1.0,,,preventive medicine
intermittent wounds,disease_prediction,1.0,,wounds,
persistent sleep apnea,disease_prediction,1.0,,sleep apnea,
herbal medicine concepts,general_info,1.0,,,herbal medicine
reducing hypertension,disease_prediction,1.0,,hypertension,
immunity tradition,general_info,1.0,,,immunity
vikriti approach,general_info,1.0,,,vikriti
lata kasturi properties,herb_benefits,1.0,lata kasturi,,
constitution perspective,general_info,1.0,,,constitution
prana knowledge,general_info,1.0,,,prana
recurring strains,disease_prediction,1.0,,strains,
remedy for nausea,disease_prediction,1.0,,nausea,
kumud healing properties,herb_benefits,1.0,kumud,,
fundamentals of meditation,general_info,1.0,,,meditation
define digestion,general_info,1.0,,,digestion
constant blurred vision,disease_prediction,1.0,,blurred vision,
panna pishti for wellness,herb_benefits,1.0,panna pishti,,
herbal properties of prativisha,herb_benefits,1.0,prativisha,,
health benefits of vida lavana,herb_benefits,1.0,vida lavana,,
medicine for skin rash,disease_prediction,1.0,,skin rash,
symptoms of indigestion,disease_prediction,1.0,,indigestion,
introduction to body type,general_info,1.0,,,body type
significance of preventive medicine,general_info,1.0,,,preventive medicine
healing swelling,disease_prediction,1.0,,swelling,
alternative medicine for morning sickness,disease_prediction,1.0,,morning sickness,
studying energy,general_info,1.0,,,energy
ayurveda understanding,general_info,1.0,,,ayurveda
researching mind-body connection,general_info,1.0,,,mind-body connection
what are the principles of srotas,general_info,1.0,,,srotas
introduction to prana,general_info,1.0,,,prana
lajjalu in traditional medicine,herb_benefits,1.0,lajjalu,,
controlling sinusitis,disease_prediction,1.0,,sinusitis,
dealing with nausea,disease_prediction,1.0,,nausea,
mild abdominal pain,disease_prediction,1.0,,abdominal pain,
prabhava tradition,general_info,1.0,,,prabhava
tell me about agnitundi vati,herb_benefits,1.0,agnitundi vati,,
define prakriti,general_info,1.0,,,prakriti
chronic fatigue treatment,disease_prediction,1.0,,chronic fatigue,
role of circulation,general_info,1.0,,,circulation
history of trimala,general_info,1.0,,,trimala
alternative medicine for sinusitis,disease_prediction,1.0,,sinusitis,
basti viewpoint,general_info,1.0,,,basti
detoxification basics,general_info,1.0,,,detoxification
what're the benefits of ksheera,herb_benefits,1.0,ksheera,,
significance of harmony,general_info,1.0,,,harmony
virechana art,general_info,1.0,,,virechana
utpala for wellness,herb_benefits,1.0,utpala,,
sudden bloating,disease_prediction,1.0,,bloating,
understand saptadhatu,general_info,1.0,,,saptadhatu
alternative medicine practice,general_info,1.0,,,alternative medicine
uses of svalpa khadiradi vati,herb_benefits,1.0,svalpa khadiradi vati,,
lata kasturi for health,herb_benefits,1.0,lata kasturi,,
fundamentals of vata,general_info,1.0,,,vata
diagnosis of cramps,disease_prediction,1.0,,cramps,
benefits and uses of agnikumarika,herb_benefits,1.0,agnikumarika,,
rasa fundamentals,general_info,1.0,,,rasa
dealing with mood swings,disease_prediction,1.0,,mood swings,
effective treatment for runny nose,disease_prediction,1.0,,runny nose,
ayurvedic treatment for dandruff,disease_prediction,1.0,,dandruff,
information about tintidika,herb_benefits,1.0,tintidika,,
therapeutic applications of nagadanti,herb_benefits,1.0,nagadanti,,
healing wounds,disease_prediction,1.0,,wounds,
examining ayurveda,general_info,1.0,,,ayurveda
constant oily skin,disease_prediction,1.0,,oily skin,
vajra bhasma for natural treatment,herb_benefits,1.0,vajra bhasma,,
tridosha understanding,general_info,1.0,,,tridosha
sore throat symptoms,disease_prediction,1.0,,sore throat,
medicinal properties of punarnava,herb_benefits,1.0,punarnava,,
medicinal effects of sala,herb_benefits,1.0,sala,,
uses of mahatiktaka ghrita,herb_benefits,1.0,mahatiktaka ghrita,,
tejapatra remedy uses,herb_benefits,1.0,tejapatra,,
preventive medicine approach,general_info,1.0,,,preventive medicine
dhanyaka for health,herb_benefits,1.0,dhanyaka,,
philosophy of balance,general_info,1.0,,,balance
I'm suffering from dry skin,disease_prediction,1.0,,dry skin,
ayurvedic treatment for gas,disease_prediction,1.0,,gas,
I'm experiencing dry eyes,disease_prediction,1.0,,dry eyes,
effective treatment for dandruff,disease_prediction,1.0,,dandruff,
neelam pishti medicinal uses,herb_benefits,1.0,neelam pishti,,
dhattura beeja for natural treatment,herb_benefits,1.0,dhattura beeja,,
ayurvedic benefits of shalparni,herb_benefits,1.0,shalparni,,
mukta pishti for wellness,herb_benefits,1.0,mukta pishti,,
what are the benefits of ksheera,herb_benefits,1.0,ksheera,,
therapeutic applications of centella,herb_benefits,1.0,centella,,
overcoming gas,disease_prediction,1.0,,gas,
trimala tradition,general_info,1.0,,,trimala
ojas methodology,general_info,1.0,,,ojas
I'm suffering from eye strain,disease_prediction,1.0,,eye strain,
investigating prana,general_info,1.0,,,prana
vata wisdom,general_info,1.0,,,vata
blurred vision treatment,disease_prediction,1.0,,blurred vision,
dealing with blurred vision,disease_prediction,1.0,,blurred vision,
origin of digestion,general_info,1.0,,,digestion
significance of body type,general_info,1.0,,,body type
patola patra nutritional benefits,herb_benefits,1.0,patola patra,,
science behind wellness,general_info,1.0,,,wellness
chandana therapeutic benefits,herb_benefits,1.0,chandana,,
information about shankha bhasma,herb_benefits,1.0,shankha bhasma,,
bhringaraja svarasa in herbal medicine,herb_benefits,1.0,bhringaraja svarasa,,
what are the principles of srotas,general_info,1.0,,,srotas
exploring traditional medicine,general_info,1.0,,,traditional medicine
examining ayurveda,general_info,1.0,,,ayurveda
I'm experiencing snoring,disease_prediction,1.0,,snoring,
remedy for weakness,disease_prediction,1.0,,weakness,
learning circulation,general_info,1.0,,,circulation
can you explain nutrition,general_info,1.0,,,nutrition
treatment for muscle pain,disease_prediction,1.0,,muscle pain,
traditional uses of simsapa,herb_benefits,1.0,simsapa,,
treatments for chronic fatigue,disease_prediction,1.0,,chronic fatigue,
natural treatment for cuts,disease_prediction,1.0,,cuts,
relief from irregular periods,disease_prediction,1.0,,irregular periods,
remedy for concentration issues,disease_prediction,1.0,,concentration issues,
cough cure,disease_prediction,1.0,,cough,
non-toxic remedy for muscle pain,disease_prediction,1.0,,muscle pain,
alternative medicine for sore throat,disease_prediction,1.0,,sore throat,
digestion art,general_info,1.0,,,digestion
therapeutic effects of swarnapatri,herb_benefits,1.0,swarnapatri,,
healing itching,disease_prediction,1.0,,itching,
panchamahabhutas theory,general_info,1.0,,,panchamahabhutas
rasa methodology,general_info,1.0,,,rasa
information about kaishore guggul,herb_benefits,1.0,kaishore guggul,,
ojas basics,general_info,1.0,,,ojas
nirgundi taila wellness benefits,herb_benefits,1.0,nirgundi taila,,
properties of shukti bhasma,herb_benefits,1.0,shukti bhasma,,
how does eranda help,herb_benefits,1.0,eranda,,
understanding basti,general_info,1.0,,,basti
having swelling,disease_prediction,1.0,,swelling,
therapeutic effects of fenugreek,herb_benefits,1.0,fenugreek,,
irregular periods treatment,disease_prediction,1.0,,irregular periods,
ama understanding,general_info,1.0,,,ama
herbal properties of prativisha,herb_benefits,1.0,prativisha,,
what is yava good for,herb_benefits,1.0,yava,,
kembuka healing properties,herb_benefits,1.0,kembuka,,
bhringraj natural medicine,herb_benefits,1.0,bhringraj,,
centella for health,herb_benefits,1.0,centella,,
balance philosophy,general_info,1.0,,,balance
natural benefits of prapunnada,herb_benefits,1.0,prapunnada,,
benefits and uses of mahatiktaka ghrita,herb_benefits,1.0,mahatiktaka ghrita,,
basics of preventive medicine,general_info,1.0,,,preventive medicine
uses of tulsi,herb_benefits,1.0,tulsi,,
therapeutic effects of rasona patra,herb_benefits,1.0,rasona patra,,
medicine for hot flashes,disease_prediction,1.0,,hot flashes,
temperament practice,general_info,1.0,,,temperament
I'm suffering from numbness,disease_prediction,1.0,,numbness,
safe treatments for weakness,disease_prediction,1.0,,weakness,
intermittent oily skin,disease_prediction,1.0,,oily skin,
introduction to temperament,general_info,1.0,,,temperament
centella for health,herb_benefits,1.0,centella,,
parijata properties,herb_benefits,1.0,parijata,,
exploring temperament,general_info,1.0,,,temperament
examining harmony,general_info,1.0,,,harmony
vajra bhasma for natural treatment,herb_benefits,1.0,vajra bhasma,,
what is pitta,general_info,1.0,,,pitta
researching wellness,general_info,1.0,,,wellness
define preventive medicine,general_info,1.0,,,preventive medicine
lata kasturi uses,herb_benefits,1.0,lata kasturi,,
fundamentals of harmony,general_info,1.0,,,harmony
I'm suffering from oily skin,disease_prediction,1.0,,oily skin,
rasa knowledge,general_info,1.0,,,rasa
simhanada guggulu in herbal medicine,herb_benefits,1.0,simhanada guggulu,,
sphatika bhasma uses,herb_benefits,1.0,sphatika bhasma,,
mind-body connection explained,general_info,1.0,,,mind-body connection
natural treatment for acidity,disease_prediction,1.0,,acidity,
traditional cures for allergies,disease_prediction,1.0,,allergies,
virya explained,general_info,1.0,,,virya
herbal properties of rajapravartini vati,herb_benefits,1.0,rajapravartini vati,,
role of virechana,general_info,1.0,,,virechana
sukumara kashayam therapeutic benefits,herb_benefits,1.0,sukumara kashayam,,
how to use hinguvachadi churna,herb_benefits,1.0,hinguvachadi churna,,
significance of holistic health,general_info,1.0,,,holistic health
permanent cures for acne,disease_prediction,1.0,,acne,
kottamchukkadi thailam natural medicine,herb_benefits,1.0,kottamchukkadi thailam,,
constant fatigue,disease_prediction,1.0,,fatigue,
best medicine for acne,disease_prediction,1.0,,acne,
medicinal effects of aranya jeeraka,herb_benefits,1.0,aranya jeeraka,,
overcoming depression,disease_prediction,1.0,,depression,
how to treat muscle pain,disease_prediction,1.0,,muscle pain,
help with depression,disease_prediction,1.0,,depression,
basti concepts,general_info,1.0,,,basti
constitution perspective,general_info,1.0,,,constitution
fundamentals of vata,general_info,1.0,,,vata
sudden low energy,disease_prediction,1.0,,low energy,
I feel depression,disease_prediction,1.0,,depression,
holistic treatment for muscle pain,disease_prediction,1.0,,muscle pain,
explain natural healing,general_info,1.0,,,natural healing
managing menstrual cramps,disease_prediction,1.0,,menstrual cramps,
relief from snoring,disease_prediction,1.0,,snoring,
constant itching,disease_prediction,1.0,,itching,
non-toxic remedy for abdominal pain,disease_prediction,1.0,,abdominal pain,
I experience ear pain,disease_prediction,1.0,,ear pain,
what is panchavalkala kwath good for,herb_benefits,1.0,panchavalkala kwath,,
virya wisdom,general_info,1.0,,,virya
I experience fatigue,disease_prediction,1.0,,fatigue,
history of natural healing,general_info,1.0,,,natural healing
effective treatment for brain fog,disease_prediction,1.0,,brain fog,
benefits of ojas,general_info,1.0,,,ojas
balance understanding,general_info,1.0,,,balance
sudarshan churna healing properties,herb_benefits,1.0,sudarshan churna,,
prana explained,general_info,1.0,,,prana
remedy for bruising,disease_prediction,1.0,,bruising,
understand srotas,general_info,1.0,,,srotas
dealing with night sweats,disease_prediction,1.0,,night sweats,
intermittent oily skin,disease_prediction,1.0,,oily skin,
what is prana,general_info,1.0,,,prana
guide to energy,general_info,1.0,,,energy
help with nausea,disease_prediction,1.0,,nausea,
dealing with allergies,disease_prediction,1.0,,allergies,
information about harmony,general_info,1.0,,,harmony
alleviating morning sickness,disease_prediction,1.0,,morning sickness,
persistent numbness,disease_prediction,1.0,,numbness,
basics of traditional medicine,general_info,1.0,,,traditional medicine
information about nasya,general_info,1.0,,,nasya
relief from tinnitus,disease_prediction,1.0,,tinnitus,
relief from numbness,disease_prediction,1.0,,numbness,
tridosha knowledge,general_info,1.0,,,tridosha
what causes sore throat,disease_prediction,1.0,,sore throat,
philosophy of ama,general_info,1.0,,,ama
benefits of talisapatra,herb_benefits,1.0,talisapatra,,
tell me about madhukarkati,herb_benefits,1.0,madhukarkati,,
tell me about holistic health,general_info,1.0,,,holistic health
help with sleep apnea,disease_prediction,1.0,,sleep apnea,
principles of preventive medicine,general_info,1.0,,,preventive medicine
constant vertigo,disease_prediction,1.0,,vertigo,
what are the principles of virechana,general_info,1.0,,,virechana
overcoming depression,disease_prediction,1.0,,depression,
tell me about chana,herb_benefits,1.0,chana,,
holistic health system,general_info,1.0,,,holistic health
explain alternative medicine,general_info,1.0,,,alternative medicine
svalpa khadiradi vati for health,herb_benefits,1.0,svalpa khadiradi vati,,
ayurvedic treatment for gas,disease_prediction,1.0,,gas,
symptoms of sleep apnea,disease_prediction,1.0,,sleep apnea,
diagnosis of bloating,disease_prediction,1.0,,bloating,
tell me about dosha,general_info,1.0,,,dosha
tell me about pravala pishti,herb_benefits,1.0,pravala pishti,,
examining harmony,general_info,1.0,,,harmony
what is mahabala good for,herb_benefits,1.0,mahabala,,
understand immunity,general_info,1.0,,,immunity
effective treatment for insomnia,disease_prediction,1.0,,insomnia,
mild vertigo,disease_prediction,1.0,,vertigo,
lajjalu remedy uses,herb_benefits,1.0,lajjalu,,
alternative medicine for dry skin,disease_prediction,1.0,,dry skin,
shothari loha healing properties,herb_benefits,1.0,shothari loha,,
relief from irregular periods,disease_prediction,1.0,,irregular periods,
detoxification system,general_info,1.0,,,detoxification
diagnosis of brain fog,disease_prediction,1.0,,brain fog,
overcoming sleep apnea,disease_prediction,1.0,,sleep apnea,
treatment for morning sickness,disease_prediction,1.0,,morning sickness,
agnimantha in herbal medicine,herb_benefits,1.0,agnimantha,,
sudden menstrual cramps,disease_prediction,1.0,,menstrual cramps,
basics of kapha,general_info,1.0,,,kapha
severe dandruff,disease_prediction,1.0,,dandruff,
having swelling,disease_prediction,1.0,,swelling,
reducing dry eyes,disease_prediction,1.0,,dry eyes,
traditional cure for tingling,disease_prediction,1.0,,tingling,
surana for wellness,herb_benefits,1.0,surana,,
science behind virya,general_info,1.0,,,virya
I experience dry eyes,disease_prediction,1.0,,dry eyes,
burning sensation cure,disease_prediction,1.0,,burning sensation,
herbal medicine for night sweats,disease_prediction,1.0,,night sweats,
medicinal value of nirgundi,herb_benefits,1.0,nirgundi,,
permanent cure for stress,disease_prediction,1.0,,stress,
herbal properties of kankshi,herb_benefits,1.0,kankshi,,
jalapippali for natural treatment,herb_benefits,1.0,jalapippali,,
overview of gunas,general_info,1.0,,,gunas
how to use srikhandasava,herb_benefits,1.0,srikhandasava,,
what are the principles of immunity,general_info,1.0,,,immunity
benefits and uses of guggulutiktakam ghritam,herb_benefits,1.0,guggulutiktakam ghritam,,
mahasudarshan churna nutritional benefits,herb_benefits,1.0,mahasudarshan churna,,
bibhitaki wellness benefits,herb_benefits,1.0,bibhitaki,,
what does ushtra dugdha do,herb_benefits,1.0,ushtra dugdha,,
what are the principles of meditation,general_info,1.0,,,meditation
benefits of virechana,general_info,1.0,,,virechana
fundamentals of rasa,general_info,1.0,,,rasa
how to use lodhradi churna,herb_benefits,1.0,lodhradi churna,,
mind-body connection basics,general_info,1.0,,,mind-body connection
dosha methodology,general_info,1.0,,,dosha
mild menstrual cramps,disease_prediction,1.0,,menstrual cramps,
examining healthy lifestyle,general_info,1.0,,,healthy lifestyle
masi for holistic health,herb_benefits,1.0,masi,,
preventive medicine approach,general_info,1.0,,,preventive medicine
having motion sickness,disease_prediction,1.0,,motion sickness,
ancient applications of ketaki,herb_benefits,1.0,ketaki,,
medicinal applications of kutaj,herb_benefits,1.0,kutaj,,
alleviating eye strain,disease_prediction,1.0,,eye strain,
persistent ear pain,disease_prediction,1.0,,ear pain,
principles of yoga,general_info,1.0,,,yoga
alleviating low energy,disease_prediction,1.0,,low energy,
herbal medicine for abdominal pain,disease_prediction,1.0,,abdominal pain,
studying srotas,general_info,1.0,,,srotas
kalmegh for wellness,herb_benefits,1.0,kalmegh,,
learning immunity,general_info,1.0,,,immunity
herbal medicine for oily skin,disease_prediction,1.0,,oily skin,
traditional medicine viewpoint,general_info,1.0,,,traditional medicine
benefits of holistic health,general_info,1.0,,,holistic health
herbal medicine science,general_info,1.0,,,herbal medicine
mahishi dugdha for natural healing,herb_benefits,1.0,mahishi dugdha,,
diarrhea treatment,disease_prediction,1.0,,diarrhea,
health properties of akarakarabha,herb_benefits,1.0,akarakarabha,,
how to use panchamrita parpati,herb_benefits,1.0,panchamrita parpati,,
origin of dosha,general_info,1.0,,,dosha
help with low energy,disease_prediction,1.0,,low energy,
ancient applications of koshataki,herb_benefits,1.0,koshataki,,
preventing bloating,disease_prediction,1.0,,bloating,
temperament explained,general_info,1.0,,,temperament
tridosha understanding,general_info,1.0,,,tridosha
shara medicinal uses,herb_benefits,1.0,shara,,
kusha medicinal uses,herb_benefits,1.0,kusha,,
asana for natural healing,herb_benefits,1.0,asana,,
traditional cure for hot flashes,disease_prediction,1.0,,hot flashes,
ginger therapeutic benefits,herb_benefits,1.0,ginger,,
tell me about laghu sutshekhar ras,herb_benefits,1.0,laghu sutshekhar ras,,
nasya philosophy,general_info,1.0,,,nasya
holistic treatment for cold,disease_prediction,1.0,,cold,
help with blurred vision,disease_prediction,1.0,,blurred vision,
kakoli effects,herb_benefits,1.0,kakoli,,
tejapatra remedy uses,herb_benefits,1.0,tejapatra,,
preventing fever,disease_prediction,1.0,,fever,
what does mahakalyanaka ghritam do,herb_benefits,1.0,mahakalyanaka ghritam,,
origin of herbal medicine,general_info,1.0,,,herbal medicine
alternative medicine for acidity,disease_prediction,1.0,,acidity,
vidanga in traditional medicine,herb_benefits,1.0,vidanga,,
understanding dosha,general_info,1.0,,,dosha
quick relief from vomiting,disease_prediction,1.0,,vomiting,
explain trimala,general_info,1.0,,,trimala
nutrition knowledge,general_info,1.0,,,nutrition
remedy for fever,disease_prediction,1.0,,fever,
natural treatment for cuts,disease_prediction,1.0,,cuts,
I have snoring,disease_prediction,1.0,,snoring,
medicinal applications of shadbindu taila,herb_benefits,1.0,shadbindu taila,,
why use shigru patra,herb_benefits,1.0,shigru patra,,
curcuma remedy uses,herb_benefits,1.0,curcuma,,
lata kasturi properties,herb_benefits,1.0,lata kasturi,,
holistic treatment for anxiety,disease_prediction,1.0,,anxiety,
medicinal effects of dhatupaushtik churna,herb_benefits,1.0,dhatupaushtik churna,,
want to know about dosha,general_info,1.0,,,dosha
science behind vikriti,general_info,1.0,,,vikriti
herbal properties of kankshi,herb_benefits,1.0,kankshi,,
fundamentals of balance,general_info,1.0,,,balance
having vertigo,disease_prediction,1.0,,vertigo,
herbal properties of dashamularishta,herb_benefits,1.0,dashamularishta,,
natural cure for sleep apnea,disease_prediction,1.0,,sleep apnea,
why is vamsha healthy,herb_benefits,1.0,vamsha,,
rasa perspective,general_info,1.0,,,rasa
remedy for concentration issues,disease_prediction,1.0,,concentration issues,
persistent tingling,disease_prediction,1.0,,tingling,
cure for asthma,disease_prediction,1.0,,asthma,
severe sneezing,disease_prediction,1.0,,sneezing,
relief from sprains,disease_prediction,1.0,,sprains,
permanent cure for bronchitis,disease_prediction,1.0,,bronchitis,
fundamentals of immunity,general_info,1.0,,,immunity
discovering panchamahabhutas,general_info,1.0,,,panchamahabhutas
what does amrita ghrita do,herb_benefits,1.0,amrita ghrita,,
what is body type,general_info,1.0,,,body type
wellness wisdom,general_info,1.0,,,wellness
what does shunthi do,herb_benefits,1.0,shunthi,,
inflammation treatment,disease_prediction,1.0,,inflammation,
medicinal effects of varunadi kashayam,herb_benefits,1.0,varunadi kashayam,,
home remedy for strains,disease_prediction,1.0,,strains,
eladi vati natural medicine,herb_benefits,1.0,eladi vati,,
treatment for dry skin,disease_prediction,1.0,,dry skin,
quick relief from hearing problems,disease_prediction,1.0,,hearing problems,
having vertigo,disease_prediction,1.0,,vertigo,
benefits and uses of mahatiktaka ghrita,herb_benefits,1.0,mahatiktaka ghrita,,
bacopa for natural treatment,herb_benefits,1.0,bacopa,,
what is natural healing,general_info,1.0,,,natural healing
quick relief from chest pain,disease_prediction,1.0,,chest pain,
medicine for chronic fatigue,disease_prediction,1.0,,chronic fatigue,
arjuna twak in herbal medicine,herb_benefits,1.0,arjuna twak,,
introduction to yoga,general_info,1.0,,,yoga
uses of vrihi,herb_benefits,1.0,vrihi,,
tell me about patala,herb_benefits,1.0,patala,,
dealing with bronchitis,disease_prediction,1.0,,bronchitis,
can you explain metabolism,general_info,1.0,,,metabolism
non-toxic remedy for cough,disease_prediction,1.0,,cough,
traditional uses of nimba beeja,herb_benefits,1.0,nimba beeja,,
significance of holistic health,general_info,1.0,,,holistic health
treatment for vomiting,disease_prediction,1.0,,vomiting,
palandu natural medicine,herb_benefits,1.0,palandu,,
herbal properties of prativisha,herb_benefits,1.0,prativisha,,
help with depression,disease_prediction,1.0,,depression,
cure for burning sensation,disease_prediction,1.0,,burning sensation,
discovering detoxification,general_info,1.0,,,detoxification
how to use sukumara kashayam,herb_benefits,1.0,sukumara kashayam,,
what is shirodhara,general_info,1.0,,,shirodhara
vata tradition,general_info,1.0,,,vata
effective treatments for chronic fatigue,disease_prediction,1.0,,chronic fatigue,
therapeutic value of sala,herb_benefits,1.0,sala,,
nutrition theory,general_info,1.0,,,nutrition
discovering gunas,general_info,1.0,,,gunas
guide to prana,general_info,1.0,,,prana
herbal properties of nimba beeja,herb_benefits,1.0,nimba beeja,,
shankhini effects,herb_benefits,1.0,shankhini,,
eladi vati therapeutic benefits,herb_benefits,1.0,eladi vati,,
natural treatment for vomiting,disease_prediction,1.0,,vomiting,
malas practice,general_info,1.0,,,malas
health properties of shatavari ksheera,herb_benefits,1.0,shatavari ksheera,,
understand saptadhatu,general_info,1.0,,,saptadhatu
researching harmony,general_info,1.0,,,harmony
diagnosis of cough,disease_prediction,1.0,,cough,
what can ishwari treat,herb_benefits,1.0,ishwari,,
trimala fundamentals,general_info,1.0,,,trimala
natural cure for morning sickness,disease_prediction,1.0,,morning sickness,
understanding ojas,general_info,1.0,,,ojas
preventive medicine methodology,general_info,1.0,,,preventive medicine
medicinal properties of punarnava,herb_benefits,1.0,punarnava,,
what is hijal good for,herb_benefits,1.0,hijal,,
medicinal value of sarpaksi,herb_benefits,1.0,sarpaksi,,
effective treatment for constipation,disease_prediction,1.0,,constipation,
traditional cures for chest pain,disease_prediction,1.0,,chest pain,
health benefits of shyonaka,herb_benefits,1.0,shyonaka,,
treatment for brain fog,disease_prediction,1.0,,brain fog,
natural benefits of jatyadi taila,herb_benefits,1.0,jatyadi taila,,
agni philosophy,general_info,1.0,,,agni
agni practice,general_info,1.0,,,agni
discovering harmony,general_info,1.0,,,harmony
what causes wounds,disease_prediction,1.0,,wounds,
tell me about meditation,general_info,1.0,,,meditation
reducing dry eyes,disease_prediction,1.0,,dry eyes,
quick relief from heartburn,disease_prediction,1.0,,heartburn,
karanja for wellness,herb_benefits,1.0,karanja,,
advantages of dhataki,herb_benefits,1.0,dhataki,,
ayurvedic benefits of chitrak,herb_benefits,1.0,chitrak,,
properties of shvet musli,herb_benefits,1.0,shvet musli,,
herbal properties of tila taila,herb_benefits,1.0,tila taila,,
philosophy of rasa,general_info,1.0,,,rasa
shadrasas perspective,general_info,1.0,,,shadrasas
discovering herbal medicine,general_info,1.0,,,herbal medicine
medicine for tinnitus,disease_prediction,1.0,,tinnitus,
advantages of hingvashtak churna,herb_benefits,1.0,hingvashtak churna,,
advantages of changeri,herb_benefits,1.0,changeri,,
role of prabhava,general_info,1.0,,,prabhava
mild menstrual cramps,disease_prediction,1.0,,menstrual cramps,
