Herb_Name,Scientific_Name,Common_Names,Benefits,Side_Effects,Contraindications,Drug_Interactions,Dosage,Traditional_Uses,Rasa,Virya,Vipaka,Dosha_Effects,Safety_Level
Arjuna,Terminalia arjuna,"Arjun tree, White marudah","Heart health, Blood pressure support, Cholesterol management, Wound healing, Antioxidant","Generally safe, May lower blood pressure excessively","Hypotension, Surgery (2 weeks before)","Blood pressure medications, heart medications, anticoagulants","3-6g bark powder daily, 500mg extract twice daily","Heart diseases, High blood pressure, Wounds, Bleeding disorders","Kashaya (astringent)",Sheeta (cold),Katu (pungent),"Balances Pitta and Kapha, May increase Vata",High
Shankhpushpi,Convolvulus pluricaulis,"Aloe weed, Bind weed","Memory enhancement, Cognitive function, Anxiety relief, Nervous system support, Sleep improvement","Generally safe, May cause drowsiness","Pregnancy, Breastfeeding, Hypotension","May interact with sedatives, blood pressure medications","3-6g powder daily, 250-500mg extract","Memory disorders, Anxiety, Insomnia, Mental fatigue","Madhura (sweet), Tikta (bitter)",Sheeta (cold),Madhura (sweet),"Balances Vata and Pitta, May increase Kapha",High
Giloy,Tinospora cordifolia,"Heart-leaved moonseed, Guduchi","Immune support, Fever reduction, Liver health, Anti-inflammatory, Antioxidant, Diabetes support","Generally safe, May lower blood sugar","Pregnancy, Breastfeeding, Autoimmune diseases","Diabetes medications, immunosuppressants","3-6g powder daily, 300-500mg extract","Fever, Immune disorders, Liver diseases, Diabetes, Arthritis","Tikta (bitter), Kashaya (astringent)",Ushna (hot),Madhura (sweet),"Balances all three doshas, Tridoshic",High
Fenugreek,Trigonella foenum-graecum,"Methi, Greek hay","Blood sugar control, Lactation support, Digestive health, Cholesterol management, Anti-inflammatory","Generally safe, May cause hypoglycemia, Stomach upset, Maple syrup odor","Pregnancy (large amounts), Bleeding disorders","Diabetes medications, blood thinners, MAO inhibitors","5-10g seeds daily, 500mg extract twice daily","Diabetes, Low milk supply, Digestive disorders, High cholesterol","Tikta (bitter), Katu (pungent)",Ushna (hot),Katu (pungent),"Balances Vata and Kapha, May increase Pitta",High
Licorice,Glycyrrhiza glabra,"Mulethi, Sweet root","Respiratory health, Digestive support, Anti-inflammatory, Adrenal support, Throat soothing","May cause high blood pressure, Potassium depletion, Edema","High blood pressure, Heart disease, Kidney disease, Pregnancy","Blood pressure medications, diuretics, corticosteroids","1-5g root daily, 200-400mg extract (short term use)","Cough, Sore throat, Gastritis, Adrenal fatigue","Madhura (sweet)",Sheeta (cold),Madhura (sweet),"Balances Vata and Pitta, May increase Kapha",Medium
Manjistha,Rubia cordifolia,"Indian madder, Common madder","Blood purification, Skin health, Anti-inflammatory, Lymphatic support, Wound healing","Generally safe, May cause orange-red urine coloration","Pregnancy, Breastfeeding, Kidney stones","May interact with lithium, diuretics","3-6g powder daily, 500mg extract","Skin diseases, Blood disorders, Lymphatic congestion, Wounds","Madhura (sweet), Tikta (bitter), Kashaya (astringent)",Sheeta (cold),Katu (pungent),"Balances Pitta and Kapha, May increase Vata",High
Punarnava,Boerhavia diffusa,"Spreading hogweed, Red spiderling","Kidney health, Diuretic, Anti-inflammatory, Liver support, Heart health","Generally safe, May cause excessive urination","Pregnancy, Breastfeeding, Dehydration","Diuretics, lithium, blood pressure medications","3-6g powder daily, 500mg extract","Kidney disorders, Edema, Liver diseases, Heart conditions","Madhura (sweet), Tikta (bitter)",Sheeta (cold),Madhura (sweet),"Balances Pitta and Kapha, May increase Vata",High
Bala,Sida cordifolia,"Country mallow, Flannel weed","Strength building, Nervous system support, Respiratory health, Joint health, Energy enhancement","Generally safe, May cause mild stimulation","Pregnancy, Breastfeeding, High blood pressure, Heart conditions","May interact with stimulants, heart medications","3-6g powder daily, 500mg extract","Weakness, Nervous disorders, Respiratory problems, Joint pain","Madhura (sweet)",Sheeta (cold),Madhura (sweet),"Balances Vata and Pitta, May increase Kapha",High
Vidanga,Embelia ribes,"False black pepper, White-flowered embelia","Digestive health, Antiparasitic, Weight management, Respiratory support","Generally safe, May cause stomach irritation in high doses","Pregnancy, Breastfeeding, Gastric ulcers","May interact with diabetes medications","1-3g powder daily, 250-500mg extract","Intestinal worms, Digestive disorders, Obesity, Respiratory issues","Katu (pungent), Tikta (bitter)",Ushna (hot),Katu (pungent),"Balances Kapha and Vata, May increase Pitta",Medium
Chitrak,Plumbago zeylanica,"Ceylon leadwort, White leadwort","Digestive fire enhancement, Weight management, Respiratory health, Anti-inflammatory","May cause skin irritation, Stomach upset, Abortion risk","Pregnancy, Breastfeeding, Gastric ulcers, Skin sensitivity","May interact with diabetes medications, blood thinners","1-2g powder daily (with care), 250mg extract","Poor digestion, Obesity, Respiratory congestion, Skin diseases","Katu (pungent), Tikta (bitter)",Ushna (hot),Katu (pungent),"Balances Kapha and Vata, Strongly increases Pitta",Low
